video_id,label,features_path,category
27__outside_talking_pan_laughing,real,processed_real_vectors/27__outside_talking_pan_laughing.npy,real
03__outside_talking_still_laughing,real,processed_real_vectors/03__outside_talking_still_laughing.npy,real
14__walking_down_indoor_hall_disgust,real,processed_real_vectors/14__walking_down_indoor_hall_disgust.npy,real
18__walking_down_street_outside_angry,real,processed_real_vectors/18__walking_down_street_outside_angry.npy,real
17__kitchen_pan,real,processed_real_vectors/17__kitchen_pan.npy,real
23__walking_down_indoor_hall_disgust,real,processed_real_vectors/23__walking_down_indoor_hall_disgust.npy,real
06__podium_speech_happy,real,processed_real_vectors/06__podium_speech_happy.npy,real
18__podium_speech_happy,real,processed_real_vectors/18__podium_speech_happy.npy,real
25__outside_talking_pan_laughing,real,processed_real_vectors/25__outside_talking_pan_laughing.npy,real
26__exit_phone_room,real,processed_real_vectors/26__exit_phone_room.npy,real
21__hugging_happy,real,processed_real_vectors/21__hugging_happy.npy,real
11__secret_conversation,real,processed_real_vectors/11__secret_conversation.npy,real
06__walking_outside_cafe_disgusted,real,processed_real_vectors/06__walking_outside_cafe_disgusted.npy,real
26__secret_conversation,real,processed_real_vectors/26__secret_conversation.npy,real
13__kitchen_pan,real,processed_real_vectors/13__kitchen_pan.npy,real
13__walk_down_hall_angry,real,processed_real_vectors/13__walk_down_hall_angry.npy,real
12__talking_against_wall,real,processed_real_vectors/12__talking_against_wall.npy,real
13__walking_and_outside_surprised,real,processed_real_vectors/13__walking_and_outside_surprised.npy,real
22__walking_outside_cafe_disgusted,real,processed_real_vectors/22__walking_outside_cafe_disgusted.npy,real
23__exit_phone_room,real,processed_real_vectors/23__exit_phone_room.npy,real
28__talking_angry_couch,real,processed_real_vectors/28__talking_angry_couch.npy,real
11__outside_talking_pan_laughing,real,processed_real_vectors/11__outside_talking_pan_laughing.npy,real
15__walking_outside_cafe_disgusted,real,processed_real_vectors/15__walking_outside_cafe_disgusted.npy,real
01__walking_and_outside_surprised,real,processed_real_vectors/01__walking_and_outside_surprised.npy,real
22__secret_conversation,real,processed_real_vectors/22__secret_conversation.npy,real
22__kitchen_still,real,processed_real_vectors/22__kitchen_still.npy,real
13__talking_angry_couch,real,processed_real_vectors/13__talking_angry_couch.npy,real
24__talking_angry_couch,real,processed_real_vectors/24__talking_angry_couch.npy,real
26__kitchen_pan,real,processed_real_vectors/26__kitchen_pan.npy,real
18__kitchen_pan,real,processed_real_vectors/18__kitchen_pan.npy,real
20__walk_down_hall_angry,real,processed_real_vectors/20__walk_down_hall_angry.npy,real
21__talking_against_wall,real,processed_real_vectors/21__talking_against_wall.npy,real
14__exit_phone_room,real,processed_real_vectors/14__exit_phone_room.npy,real
12__kitchen_still,real,processed_real_vectors/12__kitchen_still.npy,real
10__podium_speech_happy,real,processed_real_vectors/10__podium_speech_happy.npy,real
24__outside_talking_still_laughing,real,processed_real_vectors/24__outside_talking_still_laughing.npy,real
27__podium_speech_happy,real,processed_real_vectors/27__podium_speech_happy.npy,real
13__outside_talking_still_laughing,real,processed_real_vectors/13__outside_talking_still_laughing.npy,real
01__hugging_happy,real,processed_real_vectors/01__hugging_happy.npy,real
19__secret_conversation,real,processed_real_vectors/19__secret_conversation.npy,real
02__kitchen_still,real,processed_real_vectors/02__kitchen_still.npy,real
20__talking_angry_couch,real,processed_real_vectors/20__talking_angry_couch.npy,real
11__exit_phone_room,real,processed_real_vectors/11__exit_phone_room.npy,real
17__talking_angry_couch,real,processed_real_vectors/17__talking_angry_couch.npy,real
28__walk_down_hall_angry,real,processed_real_vectors/28__walk_down_hall_angry.npy,real
28__outside_talking_pan_laughing,real,processed_real_vectors/28__outside_talking_pan_laughing.npy,real
23__podium_speech_happy,real,processed_real_vectors/23__podium_speech_happy.npy,real
14__podium_speech_happy,real,processed_real_vectors/14__podium_speech_happy.npy,real
28__walking_down_street_outside_angry,real,processed_real_vectors/28__walking_down_street_outside_angry.npy,real
07__kitchen_pan,real,processed_real_vectors/07__kitchen_pan.npy,real
06__walk_down_hall_angry,real,processed_real_vectors/06__walk_down_hall_angry.npy,real
07__talking_against_wall,real,processed_real_vectors/07__talking_against_wall.npy,real
12__walking_down_street_outside_angry,real,processed_real_vectors/12__walking_down_street_outside_angry.npy,real
07__hugging_happy,real,processed_real_vectors/07__hugging_happy.npy,real
02__talking_against_wall,real,processed_real_vectors/02__talking_against_wall.npy,real
03__walk_down_hall_angry,real,processed_real_vectors/03__walk_down_hall_angry.npy,real
03__walking_outside_cafe_disgusted,real,processed_real_vectors/03__walking_outside_cafe_disgusted.npy,real
08__exit_phone_room,real,processed_real_vectors/08__exit_phone_room.npy,real
23__secret_conversation,real,processed_real_vectors/23__secret_conversation.npy,real
14__secret_conversation,real,processed_real_vectors/14__secret_conversation.npy,real
19__kitchen_still,real,processed_real_vectors/19__kitchen_still.npy,real
01__walking_down_street_outside_angry,real,processed_real_vectors/01__walking_down_street_outside_angry.npy,real
23__kitchen_pan,real,processed_real_vectors/23__kitchen_pan.npy,real
14__kitchen_still,real,processed_real_vectors/14__kitchen_still.npy,real
22__walking_and_outside_surprised,real,processed_real_vectors/22__walking_and_outside_surprised.npy,real
17__hugging_happy,real,processed_real_vectors/17__hugging_happy.npy,real
10__walking_outside_cafe_disgusted,real,processed_real_vectors/10__walking_outside_cafe_disgusted.npy,real
19__outside_talking_still_laughing,real,processed_real_vectors/19__outside_talking_still_laughing.npy,real
02__kitchen_pan,real,processed_real_vectors/02__kitchen_pan.npy,real
27__walking_down_street_outside_angry,real,processed_real_vectors/27__walking_down_street_outside_angry.npy,real
24__talking_against_wall,real,processed_real_vectors/24__talking_against_wall.npy,real
25__walk_down_hall_angry,real,processed_real_vectors/25__walk_down_hall_angry.npy,real
04__kitchen_still,real,processed_real_vectors/04__kitchen_still.npy,real
19__podium_speech_happy,real,processed_real_vectors/19__podium_speech_happy.npy,real
27__walking_outside_cafe_disgusted,real,processed_real_vectors/27__walking_outside_cafe_disgusted.npy,real
16__kitchen_pan,real,processed_real_vectors/16__kitchen_pan.npy,real
28__kitchen_pan,real,processed_real_vectors/28__kitchen_pan.npy,real
06__walking_and_outside_surprised,real,processed_real_vectors/06__walking_and_outside_surprised.npy,real
03__outside_talking_pan_laughing,real,processed_real_vectors/03__outside_talking_pan_laughing.npy,real
28__walking_outside_cafe_disgusted,real,processed_real_vectors/28__walking_outside_cafe_disgusted.npy,real
22__podium_speech_happy,real,processed_real_vectors/22__podium_speech_happy.npy,real
27__hugging_happy,real,processed_real_vectors/27__hugging_happy.npy,real
02__exit_phone_room,real,processed_real_vectors/02__exit_phone_room.npy,real
15__podium_speech_happy,real,processed_real_vectors/15__podium_speech_happy.npy,real
21__outside_talking_still_laughing,real,processed_real_vectors/21__outside_talking_still_laughing.npy,real
24__walking_down_street_outside_angry,real,processed_real_vectors/24__walking_down_street_outside_angry.npy,real
21__talking_angry_couch,real,processed_real_vectors/21__talking_angry_couch.npy,real
12__outside_talking_pan_laughing,real,processed_real_vectors/12__outside_talking_pan_laughing.npy,real
14__walking_and_outside_surprised,real,processed_real_vectors/14__walking_and_outside_surprised.npy,real
05__outside_talking_still_laughing,real,processed_real_vectors/05__outside_talking_still_laughing.npy,real
18__secret_conversation,real,processed_real_vectors/18__secret_conversation.npy,real
26__outside_talking_pan_laughing,real,processed_real_vectors/26__outside_talking_pan_laughing.npy,real
17__talking_against_wall,real,processed_real_vectors/17__talking_against_wall.npy,real
16__walk_down_hall_angry,real,processed_real_vectors/16__walk_down_hall_angry.npy,real
11__walking_down_street_outside_angry,real,processed_real_vectors/11__walking_down_street_outside_angry.npy,real
24__kitchen_still,real,processed_real_vectors/24__kitchen_still.npy,real
11__podium_speech_happy,real,processed_real_vectors/11__podium_speech_happy.npy,real
26__podium_speech_happy,real,processed_real_vectors/26__podium_speech_happy.npy,real
12__talking_angry_couch,real,processed_real_vectors/12__talking_angry_couch.npy,real
02__walking_down_street_outside_angry,real,processed_real_vectors/02__walking_down_street_outside_angry.npy,real
09__kitchen_pan,real,processed_real_vectors/09__kitchen_pan.npy,real
07__exit_phone_room,real,processed_real_vectors/07__exit_phone_room.npy,real
09__outside_talking_still_laughing,real,processed_real_vectors/09__outside_talking_still_laughing.npy,real
27__kitchen_still,real,processed_real_vectors/27__kitchen_still.npy,real
22__walking_down_street_outside_angry,real,processed_real_vectors/22__walking_down_street_outside_angry.npy,real
11__walk_down_hall_angry,real,processed_real_vectors/11__walk_down_hall_angry.npy,real
10__talking_against_wall,real,processed_real_vectors/10__talking_against_wall.npy,real
12__walking_and_outside_surprised,real,processed_real_vectors/12__walking_and_outside_surprised.npy,real
15__exit_phone_room,real,processed_real_vectors/15__exit_phone_room.npy,real
24__outside_talking_pan_laughing,real,processed_real_vectors/24__outside_talking_pan_laughing.npy,real
13__walking_outside_cafe_disgusted,real,processed_real_vectors/13__walking_outside_cafe_disgusted.npy,real
10__outside_talking_pan_laughing,real,processed_real_vectors/10__outside_talking_pan_laughing.npy,real
04__walking_down_street_outside_angry,real,processed_real_vectors/04__walking_down_street_outside_angry.npy,real
28__exit_phone_room,real,processed_real_vectors/28__exit_phone_room.npy,real
12__kitchen_pan,real,processed_real_vectors/12__kitchen_pan.npy,real
24__walking_outside_cafe_disgusted,real,processed_real_vectors/24__walking_outside_cafe_disgusted.npy,real
17__walking_down_street_outside_angry,real,processed_real_vectors/17__walking_down_street_outside_angry.npy,real
10__exit_phone_room,real,processed_real_vectors/10__exit_phone_room.npy,real
01__outside_talking_pan_laughing,real,processed_real_vectors/01__outside_talking_pan_laughing.npy,real
19__walk_down_hall_angry,real,processed_real_vectors/19__walk_down_hall_angry.npy,real
18__talking_against_wall,real,processed_real_vectors/18__talking_against_wall.npy,real
02__secret_conversation,real,processed_real_vectors/02__secret_conversation.npy,real
06__kitchen_pan,real,processed_real_vectors/06__kitchen_pan.npy,real
07__walking_down_street_outside_angry,real,processed_real_vectors/07__walking_down_street_outside_angry.npy,real
07__podium_speech_happy,real,processed_real_vectors/07__podium_speech_happy.npy,real
04__talking_angry_couch,real,processed_real_vectors/04__talking_angry_couch.npy,real
15__outside_talking_still_laughing,real,processed_real_vectors/15__outside_talking_still_laughing.npy,real
14__hugging_happy,real,processed_real_vectors/14__hugging_happy.npy,real
22__walk_down_hall_angry,real,processed_real_vectors/22__walk_down_hall_angry.npy,real
23__talking_against_wall,real,processed_real_vectors/23__talking_against_wall.npy,real
14__walking_down_street_outside_angry,real,processed_real_vectors/14__walking_down_street_outside_angry.npy,real
27__exit_phone_room,real,processed_real_vectors/27__exit_phone_room.npy,real
22__outside_talking_still_laughing,real,processed_real_vectors/22__outside_talking_still_laughing.npy,real
07__kitchen_still,real,processed_real_vectors/07__kitchen_still.npy,real
03__podium_speech_happy,real,processed_real_vectors/03__podium_speech_happy.npy,real
21__walking_down_street_outside_angry,real,processed_real_vectors/21__walking_down_street_outside_angry.npy,real
06__outside_talking_still_laughing,real,processed_real_vectors/06__outside_talking_still_laughing.npy,real
04__walk_down_hall_angry,real,processed_real_vectors/04__walk_down_hall_angry.npy,real
05__talking_against_wall,real,processed_real_vectors/05__talking_against_wall.npy,real
17__kitchen_still,real,processed_real_vectors/17__kitchen_still.npy,real
22__exit_phone_room,real,processed_real_vectors/22__exit_phone_room.npy,real
27__kitchen_pan,real,processed_real_vectors/27__kitchen_pan.npy,real
19__kitchen_pan,real,processed_real_vectors/19__kitchen_pan.npy,real
19__exit_phone_room,real,processed_real_vectors/19__exit_phone_room.npy,real
13__podium_speech_happy,real,processed_real_vectors/13__podium_speech_happy.npy,real
21__walking_and_outside_surprised,real,processed_real_vectors/21__walking_and_outside_surprised.npy,real
24__podium_speech_happy,real,processed_real_vectors/24__podium_speech_happy.npy,real
10__talking_angry_couch,real,processed_real_vectors/10__talking_angry_couch.npy,real
15__walking_down_street_outside_angry,real,processed_real_vectors/15__walking_down_street_outside_angry.npy,real
27__talking_angry_couch,real,processed_real_vectors/27__talking_angry_couch.npy,real
15__kitchen_pan,real,processed_real_vectors/15__kitchen_pan.npy,real
21__exit_phone_room,real,processed_real_vectors/21__exit_phone_room.npy,real
05__walk_down_hall_angry,real,processed_real_vectors/05__walk_down_hall_angry.npy,real
20__walking_outside_cafe_disgusted,real,processed_real_vectors/20__walking_outside_cafe_disgusted.npy,real
04__talking_against_wall,real,processed_real_vectors/04__talking_against_wall.npy,real
06__walking_down_street_outside_angry,real,processed_real_vectors/06__walking_down_street_outside_angry.npy,real
04__walking_outside_cafe_disgusted,real,processed_real_vectors/04__walking_outside_cafe_disgusted.npy,real
26__kitchen_still,real,processed_real_vectors/26__kitchen_still.npy,real
20__podium_speech_happy,real,processed_real_vectors/20__podium_speech_happy.npy,real
17__podium_speech_happy,real,processed_real_vectors/17__podium_speech_happy.npy,real
23__walk_down_hall_angry,real,processed_real_vectors/23__walk_down_hall_angry.npy,real
22__talking_against_wall,real,processed_real_vectors/22__talking_against_wall.npy,real
23__talking_angry_couch,real,processed_real_vectors/23__talking_angry_couch.npy,real
14__talking_angry_couch,real,processed_real_vectors/14__talking_angry_couch.npy,real
24__exit_phone_room,real,processed_real_vectors/24__exit_phone_room.npy,real
20__walking_down_street_outside_angry,real,processed_real_vectors/20__walking_down_street_outside_angry.npy,real
22__outside_talking_pan_laughing,real,processed_real_vectors/22__outside_talking_pan_laughing.npy,real
05__hugging_happy,real,processed_real_vectors/05__hugging_happy.npy,real
02__outside_talking_still_laughing,real,processed_real_vectors/02__outside_talking_still_laughing.npy,real
23__walking_down_street_outside_angry,real,processed_real_vectors/23__walking_down_street_outside_angry.npy,real
16__kitchen_still,real,processed_real_vectors/16__kitchen_still.npy,real
12__secret_conversation,real,processed_real_vectors/12__secret_conversation.npy,real
18__walk_down_hall_angry,real,processed_real_vectors/18__walk_down_hall_angry.npy,real
25__secret_conversation,real,processed_real_vectors/25__secret_conversation.npy,real
19__talking_against_wall,real,processed_real_vectors/19__talking_against_wall.npy,real
13__exit_phone_room,real,processed_real_vectors/13__exit_phone_room.npy,real
20__kitchen_pan,real,processed_real_vectors/20__kitchen_pan.npy,real
16__walking_down_street_outside_angry,real,processed_real_vectors/16__walking_down_street_outside_angry.npy,real
07__outside_talking_pan_laughing,real,processed_real_vectors/07__outside_talking_pan_laughing.npy,real
01__kitchen_pan,real,processed_real_vectors/01__kitchen_pan.npy,real
11__outside_talking_still_laughing,real,processed_real_vectors/11__outside_talking_still_laughing.npy,real
15__hugging_happy,real,processed_real_vectors/15__hugging_happy.npy,real
18__walking_outside_cafe_disgusted,real,processed_real_vectors/18__walking_outside_cafe_disgusted.npy,real
28__podium_speech_happy,real,processed_real_vectors/28__podium_speech_happy.npy,real
16__outside_talking_pan_laughing,real,processed_real_vectors/16__outside_talking_pan_laughing.npy,real
05__walking_down_street_outside_angry,real,processed_real_vectors/05__walking_down_street_outside_angry.npy,real
16__exit_phone_room,real,processed_real_vectors/16__exit_phone_room.npy,real
10__walk_down_hall_angry,real,processed_real_vectors/10__walk_down_hall_angry.npy,real
11__talking_against_wall,real,processed_real_vectors/11__talking_against_wall.npy,real
17__walking_and_outside_surprised,real,processed_real_vectors/17__walking_and_outside_surprised.npy,real
06__kitchen_still,real,processed_real_vectors/06__kitchen_still.npy,real
26__outside_talking_still_laughing,real,processed_real_vectors/26__outside_talking_still_laughing.npy,real
16__hugging_happy,real,processed_real_vectors/16__hugging_happy.npy,real
14__outside_talking_pan_laughing,real,processed_real_vectors/14__outside_talking_pan_laughing.npy,real
25__walking_down_street_outside_angry,real,processed_real_vectors/25__walking_down_street_outside_angry.npy,real
14__walking_outside_cafe_disgusted,real,processed_real_vectors/14__walking_outside_cafe_disgusted.npy,real
16__talking_against_wall,real,processed_real_vectors/16__talking_against_wall.npy,real
17__walk_down_hall_angry,real,processed_real_vectors/17__walk_down_hall_angry.npy,real
05__kitchen_pan,real,processed_real_vectors/05__kitchen_pan.npy,real
05__kitchen_still,real,processed_real_vectors/05__kitchen_still.npy,real
01__podium_speech_happy,real,processed_real_vectors/01__podium_speech_happy.npy,real
05__outside_talking_pan_laughing,real,processed_real_vectors/05__outside_talking_pan_laughing.npy,real
04__exit_phone_room,real,processed_real_vectors/04__exit_phone_room.npy,real
08__kitchen_still,real,processed_real_vectors/08__kitchen_still.npy,real
02__talking_angry_couch,real,processed_real_vectors/02__talking_angry_couch.npy,real
03__meeting_serious,real,processed_real_vectors/03__meeting_serious.npy,real
23__walking_outside_cafe_disgusted,real,processed_real_vectors/23__walking_outside_cafe_disgusted.npy,real
03__walking_down_street_outside_angry,real,processed_real_vectors/03__walking_down_street_outside_angry.npy,real
03__walking_and_outside_surprised,real,processed_real_vectors/03__walking_and_outside_surprised.npy,real
07__walking_outside_cafe_disgusted,real,processed_real_vectors/07__walking_outside_cafe_disgusted.npy,real
06__hugging_happy,real,processed_real_vectors/06__hugging_happy.npy,real
20__outside_talking_pan_laughing,real,processed_real_vectors/20__outside_talking_pan_laughing.npy,real
24__kitchen_pan,real,processed_real_vectors/24__kitchen_pan.npy,real
10__walking_down_street_outside_angry,real,processed_real_vectors/10__walking_down_street_outside_angry.npy,real
05__podium_speech_happy,real,processed_real_vectors/05__podium_speech_happy.npy,real
01__exit_phone_room,real,processed_real_vectors/01__exit_phone_room.npy,real
18__kitchen_still,real,processed_real_vectors/18__kitchen_still.npy,real
06__talking_angry_couch,real,processed_real_vectors/06__talking_angry_couch.npy,real
15__kitchen_still,real,processed_real_vectors/15__kitchen_still.npy,real
28__kitchen_still,real,processed_real_vectors/28__kitchen_still.npy,real
01__outside_talking_still_laughing,real,processed_real_vectors/01__outside_talking_still_laughing.npy,real
08__walking_outside_cafe_disgusted,real,processed_real_vectors/08__walking_outside_cafe_disgusted.npy,real
25__talking_against_wall,real,processed_real_vectors/25__talking_against_wall.npy,real
24__walk_down_hall_angry,real,processed_real_vectors/24__walk_down_hall_angry.npy,real
13__walking_down_street_outside_angry,real,processed_real_vectors/13__walking_down_street_outside_angry.npy,real
09__podium_speech_happy,real,processed_real_vectors/09__podium_speech_happy.npy,real
12__outside_talking_still_laughing,real,processed_real_vectors/12__outside_talking_still_laughing.npy,real
11__kitchen_pan,real,processed_real_vectors/11__kitchen_pan.npy,real
19__outside_talking_pan_laughing,real,processed_real_vectors/19__outside_talking_pan_laughing.npy,real
04__secret_conversation,real,processed_real_vectors/04__secret_conversation.npy,real
03__talking_against_wall,real,processed_real_vectors/03__talking_against_wall.npy,real
02__walk_down_hall_angry,real,processed_real_vectors/02__walk_down_hall_angry.npy,real
26__walking_down_street_outside_angry,real,processed_real_vectors/26__walking_down_street_outside_angry.npy,real
27__walking_and_outside_surprised,real,processed_real_vectors/27__walking_and_outside_surprised.npy,real
25__outside_talking_still_laughing,real,processed_real_vectors/25__outside_talking_still_laughing.npy,real
08__outside_talking_pan_laughing,real,processed_real_vectors/08__outside_talking_pan_laughing.npy,real
12__exit_phone_room,real,processed_real_vectors/12__exit_phone_room.npy,real
07__talking_angry_couch,real,processed_real_vectors/07__talking_angry_couch.npy,real
26__walking_outside_cafe_disgusted,real,processed_real_vectors/26__walking_outside_cafe_disgusted.npy,real
04__podium_speech_happy,real,processed_real_vectors/04__podium_speech_happy.npy,real
20__walking_and_outside_surprised,real,processed_real_vectors/20__walking_and_outside_surprised.npy,real
11__walking_outside_cafe_disgusted,real,processed_real_vectors/11__walking_outside_cafe_disgusted.npy,real
18__outside_talking_still_laughing,real,processed_real_vectors/18__outside_talking_still_laughing.npy,real
23__kitchen_still,real,processed_real_vectors/23__kitchen_still.npy,real
07__walk_down_hall_angry,real,processed_real_vectors/07__walk_down_hall_angry.npy,real
06__talking_against_wall,real,processed_real_vectors/06__talking_against_wall.npy,real
20__hugging_happy,real,processed_real_vectors/20__hugging_happy.npy,real
21__walk_down_hall_angry,real,processed_real_vectors/21__walk_down_hall_angry.npy,real
20__talking_against_wall,real,processed_real_vectors/20__talking_against_wall.npy,real
03__talking_angry_couch,real,processed_real_vectors/03__talking_angry_couch.npy,real
17__exit_phone_room,real,processed_real_vectors/17__exit_phone_room.npy,real
02__walking_outside_cafe_disgusted,real,processed_real_vectors/02__walking_outside_cafe_disgusted.npy,real
14__kitchen_pan,real,processed_real_vectors/14__kitchen_pan.npy,real
03__kitchen_still,real,processed_real_vectors/03__kitchen_still.npy,real
27__meeting_serious,real,processed_real_vectors/27__meeting_serious.npy,real
20__exit_phone_room,real,processed_real_vectors/20__exit_phone_room.npy,real
04__outside_talking_still_laughing,real,processed_real_vectors/04__outside_talking_still_laughing.npy,real
23__outside_talking_pan_laughing,real,processed_real_vectors/23__outside_talking_pan_laughing.npy,real
18__exit_phone_room,real,processed_real_vectors/18__exit_phone_room.npy,real
25__exit_phone_room,real,processed_real_vectors/25__exit_phone_room.npy,real
08__podium_speech_happy,real,processed_real_vectors/08__podium_speech_happy.npy,real
21__kitchen_pan,real,processed_real_vectors/21__kitchen_pan.npy,real
17__outside_talking_pan_laughing,real,processed_real_vectors/17__outside_talking_pan_laughing.npy,real
13__kitchen_still,real,processed_real_vectors/13__kitchen_still.npy,real
20__outside_talking_still_laughing,real,processed_real_vectors/20__outside_talking_still_laughing.npy,real
16__walking_and_outside_surprised,real,processed_real_vectors/16__walking_and_outside_surprised.npy,real
01__secret_conversation,real,processed_real_vectors/01__secret_conversation.npy,real
17__outside_talking_still_laughing,real,processed_real_vectors/17__outside_talking_still_laughing.npy,real
06__outside_talking_pan_laughing,real,processed_real_vectors/06__outside_talking_pan_laughing.npy,real
12__walk_down_hall_angry,real,processed_real_vectors/12__walk_down_hall_angry.npy,real
13__talking_against_wall,real,processed_real_vectors/13__talking_against_wall.npy,real
06__walking_down_indoor_hall_disgust,real,processed_real_vectors/06__walking_down_indoor_hall_disgust.npy,real
10__kitchen_still,real,processed_real_vectors/10__kitchen_still.npy,real
14__talking_against_wall,real,processed_real_vectors/14__talking_against_wall.npy,real
15__walk_down_hall_angry,real,processed_real_vectors/15__walk_down_hall_angry.npy,real
28__secret_conversation,real,processed_real_vectors/28__secret_conversation.npy,real
04__outside_talking_pan_laughing,real,processed_real_vectors/04__outside_talking_pan_laughing.npy,real
25__walking_outside_cafe_disgusted,real,processed_real_vectors/25__walking_outside_cafe_disgusted.npy,real
03__hugging_happy,real,processed_real_vectors/03__hugging_happy.npy,real
15__talking_angry_couch,real,processed_real_vectors/15__talking_angry_couch.npy,real
12__walking_outside_cafe_disgusted,real,processed_real_vectors/12__walking_outside_cafe_disgusted.npy,real
21__podium_speech_happy,real,processed_real_vectors/21__podium_speech_happy.npy,real
16__podium_speech_happy,real,processed_real_vectors/16__podium_speech_happy.npy,real
15__outside_talking_pan_laughing,real,processed_real_vectors/15__outside_talking_pan_laughing.npy,real
21__outside_talking_pan_laughing,real,processed_real_vectors/21__outside_talking_pan_laughing.npy,real
02__walking_and_outside_surprised,real,processed_real_vectors/02__walking_and_outside_surprised.npy,real
19__walking_down_street_outside_angry,real,processed_real_vectors/19__walking_down_street_outside_angry.npy,real
11__talking_angry_couch,real,processed_real_vectors/11__talking_angry_couch.npy,real
26__talking_angry_couch,real,processed_real_vectors/26__talking_angry_couch.npy,real
04__kitchen_pan,real,processed_real_vectors/04__kitchen_pan.npy,real
01__walking_outside_cafe_disgusted,real,processed_real_vectors/01__walking_outside_cafe_disgusted.npy,real
12__podium_speech_happy,real,processed_real_vectors/12__podium_speech_happy.npy,real
13__hugging_happy,real,processed_real_vectors/13__hugging_happy.npy,real
08__outside_talking_still_laughing,real,processed_real_vectors/08__outside_talking_still_laughing.npy,real
25__podium_speech_happy,real,processed_real_vectors/25__podium_speech_happy.npy,real
02__meeting_serious,real,processed_real_vectors/02__meeting_serious.npy,real
05__exit_phone_room,real,processed_real_vectors/05__exit_phone_room.npy,real
20__secret_conversation,real,processed_real_vectors/20__secret_conversation.npy,real
23__hugging_happy,real,processed_real_vectors/23__hugging_happy.npy,real
09__talking_against_wall,real,processed_real_vectors/09__talking_against_wall.npy,real
